customer_id,customer_age,job_type,marital,education,default,balance,housing_loan,personal_loan,communication_type,day_of_month,month,last_contact_duration,num_contacts_in_campaign,num_contacts_prev_campaign,prev_campaign_outcome,term_deposit_subscribed
id_32289,34,blue-collar,married,secondary,no,934,no,yes,cellular,18,nov,704,2,1,other,0
id_40992,41,blue-collar,married,primary,no,1352,yes,no,cellular,13,may,893,2,0,unknown,0
id_41178,57,blue-collar,married,primary,no,495,no,no,cellular,18,aug,796,4,0,unknown,1
id_35102,37,management,married,tertiary,no,650,yes,,unknown,26,may,880,1,0,unknown,0
id_34750,29,technician,married,secondary,no,265,yes,no,cellular,19,aug,795,2,0,unknown,0
id_1406,50,blue-collar,married,secondary,no,407,yes,yes,cellular,7,aug,807,2,0,unknown,0
id_17866,35,technician,single,secondary,no,5212,yes,no,cellular,7,may,899,2,0,unknown,0
id_36237,18,blue-collar,single,secondary,no,420,yes,no,cellular,16,apr,920,1,0,unknown,1
id_43255,50,management,married,secondary,no,4873,no,no,telephone,6,feb,989,6,9,failure,0
id_5735,55,blue-collar,married,primary,no,762,no,no,unknown,18,jun,857,1,0,unknown,0
id_12246,42,management,married,tertiary,no,55,yes,no,cellular,17,nov,705,1,3,failure,0
id_19188,37,blue-collar,single,primary,no,3,no,no,unknown,5,jun,870,1,0,unknown,0
id_31616,41,technician,married,secondary,no,-3,yes,no,cellular,16,apr,920,1,1,failure,0
id_17398,41,services,married,secondary,no,-145,no,yes,unknown,6,jun,869,1,0,unknown,0
id_32668,53,retired,divorced,secondary,yes,-204,no,yes,unknown,6,jun,869,1,0,unknown,0
id_11871,58,blue-collar,married,secondary,no,1,no,yes,cellular,22,jul,823,2,0,unknown,0
id_16593,70,retired,divorced,primary,no,479,no,no,cellular,2,jul,843,2,0,unknown,1
id_32623,41,entrepreneur,married,primary,no,150,no,no,cellular,20,aug,794,2,0,unknown,0
id_9411,34,services,single,secondary,no,1038,no,yes,unknown,3,jul,842,1,0,unknown,0
id_37166,28,services,single,primary,no,340,no,no,unknown,4,jul,841,3,0,unknown,1
id_34844,38,technician,divorced,secondary,no,528,no,no,cellular,29,jan,997,3,7,failure,0
id_2770,33,admin.,single,secondary,no,54,no,no,cellular,29,jan,997,1,0,unknown,0
id_18544,25,student,single,tertiary,no,192,no,no,cellular,3,apr,933,2,0,unknown,0
id_33225,61,admin.,married,primary,no,882,yes,no,cellular,30,jan,996,5,7,failure,0
id_31654,31,admin.,married,secondary,no,93,yes,no,cellular,18,may,888,2,1,success,0
id_38719,20,housemaid,single,secondary,no,649,yes,no,cellular,14,may,892,1,4,failure,0
